,Name,Chi2,RedChi2,Variables,Amp1,Amp1-stdev,Amp2,Amp2-stdev,Amp3,Amp3-stdev,Sum Amp
0,20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0001,2.2204258855403319e-29,5.722747127681268e-32,2,0.9999999999999987,6.841369696482632e-19,0.0,1.2656033926554705e-28,1.3322676295501878e-15,6.841369696514005e-19,1.0
1,20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0002,0.003722426401839874,9.618672872971251e-06,2,1.0,7.376567441421698e-15,0.0,1.6415854606918696e-15,0.0,7.60368319945313e-15,1.0
2,20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0003,0.002480894022192051,6.41057886871331e-06,2,0.9958070724368874,0.001512257883102929,0.004192625518414983,0.0015327128042014531,3.0204469764205655e-07,0.0002528010925747824,1.0
3,20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0004,0.0030768067669438093,7.929914347793322e-06,2,0.9989171283343518,0.0016806013878317785,0.001082776088133508,0.00169007757972995,9.557751473598941e-08,0.00023609760397898824,1.0
4,20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0005,0.00369772904992697,9.530229510121057e-06,2,0.9875278749669038,0.0018481857644922254,0.013519408334177141,0.001848541119278647,0.0,0.00020970172331484356,1.0010472833010808
5,20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0006,0.0035296512184810045,9.097039222889188e-06,2,0.9883129250562241,0.0018077678231478583,0.012333127322967707,0.0018083645501455173,0.0,0.0002048079180844566,1.0006460523791918
6,20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0007,0.003183898462705271,8.227127810607935e-06,2,0.9861552751536116,0.0017209521950720418,0.014892017756338916,0.0017220300199639086,0.0,0.0001952084141314359,1.0010472929099505
7,20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0008,0.002537563099107492,6.557010592009023e-06,2,0.9924496401342418,0.0015340236078235582,0.008002835569209776,0.0015347532128943693,0.0,0.0001740549119955232,1.0004524757034514
8,20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0009,0.0035194745228869923,9.094249413144683e-06,2,0.9813427298982872,0.0018041117973919135,0.0186759256634908,0.0018052914013106855,0.0,0.00020506108799233955,1.000018655561778
9,20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0010,0.004132865237730026,1.0679238340387664e-05,2,0.9955871914304931,0.004823598266595133,5.093214738849383e-11,0.02809315121228566,0.004412808518574729,0.03683909786619291,1.0
10,20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0011,0.003182911469272391,8.224577439980339e-06,2,0.9842052166749983,0.001717305186483409,0.016735402362561158,0.001718169074344496,0.0,0.0001949663965680245,1.0009406190375594
11,20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0012,0.004171099729267855,1.0778035476144326e-05,2,0.9963652577901373,0.004826579795182219,3.3946179200938786e-11,0.032366411975370296,0.0036347421759165277,0.032486562662256364,1.0
12,20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0013,0.0048878062713858805,1.2597438843778043e-05,2,0.9597985050436899,0.0021248122956372974,0.041646280797531576,0.002125992721047893,0.0,0.00024119885828751078,1.0014447858412214
13,20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0014,0.004041653752322242,1.0443549747602692e-05,2,0.9681175420863006,0.0019341355626382392,0.032424306517406076,0.0019359814525665435,0.0,0.00021953703306024108,1.0005418486037068
14,20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0015,0.005508685683999881,1.423432993281623e-05,2,0.9533758614313765,0.002254787101132738,0.04764986480646893,0.0022556006491159623,0.0,0.000256777265295667,1.0010257262378455
15,20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0016,0.00444727509688095,1.1491666917005039e-05,2,0.9404533968293326,0.0020279418670165104,0.0605130651406639,0.0020293664722380385,0.0,0.00023041131445447098,1.0009664619699965
16,20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0017,0.005876414090096355,1.518453253254872e-05,2,0.9199564889196921,0.00233146638960493,0.08117759598563895,0.002332991010519432,0.0,0.0002651318333725579,1.001134084905331
17,20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0018,0.004225350375551476,1.0918218024680818e-05,2,0.9041384586745748,0.001981067598789753,0.09784255698227251,0.0019818843611138295,0.0,0.00022479510883863395,1.0019810156568472
18,20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0019,0.005593555678888912,1.4453632245190987e-05,2,0.8836235547529625,0.002272935794900319,0.11749455409394943,0.0022742841761623418,0.0,0.000258383318625484,1.0011181088469119
19,20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0020,0.00453867093214526,1.1727831866008425e-05,2,0.8696314970270018,0.0020541515660374827,0.13250568552490738,0.0020553359432727855,0.0,0.0002329827914958843,1.0021371825519092
20,20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0021,0.006412962293789074,1.6570961999454972e-05,2,0.8356037282838622,0.0024364930539069597,0.1660754805026819,0.0024380993321859315,0.0,0.00027664315799332044,1.001679208786544
