,Name,Chi2,RedChi2,Variables,Amp1,Amp1-stdev,Amp2,Amp2-stdev,Amp3,Amp3-stdev,Sum Amp
0,20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0001,2.0192317838289105e-28,5.217653188188399e-31,3,0.9999999999999993,7.545770723068614e-18,0.0,1.730169570750983e-26,1.609823385706477e-15,1.1534731955829859e-17,1.0000000000000009
1,20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0002,0.10483610583151066,0.0002715961290971779,3,1.0,2.0269365243418457e-13,0.0,3.942353404284433e-13,0.02079393962152748,0.02598188439536662,1.0207939396215275
2,20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0003,0.0042222580474920645,1.0938492351015712e-05,3,0.9931718152006616,0.005223933528487958,0.009581199090006043,0.010165021774567358,0.0,4.0737922176399005e-14,1.0027530142906675
3,20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0004,0.03744570358713516,9.675892399776526e-05,3,0.9872269583016567,0.015539200577840265,0.025236688532176588,0.030233783681943977,0.0,1.2113406915176566e-13,1.0124636468338333
4,20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0005,0.7360598372097513,0.0019019634036427683,3,0.9335179930789989,0.06886804205169357,0.12501382049858567,0.13400971852013543,0.0,5.370212546621832e-13,1.0585318135775845
5,20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0006,0.12214887435470403,0.0003156301662912249,3,0.9664489167254119,0.02805692019100983,0.05724198099402955,0.0545650089618616,0.0,2.1855687085667346e-13,1.0236908977194414
6,20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0007,0.3685163102789069,0.0009547054670438003,3,0.9479301099205064,0.04895509246959255,0.09387260922679896,0.0952109036550881,0.0,3.812786293841359e-13,1.0418027191473054
7,20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0008,0.10611636685681203,0.00027491286750469437,3,0.9720313486156564,0.026196641616027246,0.049998650219722274,0.05097232340675369,0.0,2.0425780863759903e-13,1.0220299988353787
8,20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0009,0.0035075425028049494,9.08689767566049e-06,3,0.9811832802137794,0.004757607902396923,0.01882489613754329,0.009256637236123206,1.4112130705679071e-06,0.0193225494384566,1.0000095875643933
9,20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0010,0.02591022224753407,6.712492810241987e-05,3,0.9999999242522113,0.9100030472377986,7.70201046829122e-08,1.7848555490676428,0.009612080082426644,0.012972182629292476,1.0096120813547427
