energy,2021-06-14 16:33:52,2021-06-14 16:35:37,2021-06-14 16:37:23,2021-06-14 16:39:11,2021-06-14 16:40:57,2021-06-14 16:42:42,2021-06-14 16:44:27,2021-06-14 16:46:13,2021-06-14 16:47:59,2021-06-14 16:49:44,2021-06-14 16:51:30,2021-06-14 16:53:15,2021-06-14 16:55:01,2021-06-14 16:56:46,2021-06-14 16:58:34,2021-06-14 17:00:20,2021-06-14 17:02:05,2021-06-14 17:03:51,2021-06-14 17:05:37,2021-06-14 17:07:22,2021-06-14 17:09:08,2021-06-14 17:10:56,2021-06-14 17:12:42,2021-06-14 17:14:27,2021-06-14 17:16:13,2021-06-14 17:17:58,2021-06-14 17:19:44,2021-06-14 17:21:32,2021-06-14 17:23:20,2021-06-14 17:25:06,2021-06-14 17:26:52,2021-06-14 17:28:37,2021-06-14 17:30:23,2021-06-14 17:32:09,2021-06-14 17:33:55,2021-06-14 17:35:40,2021-06-14 17:37:26,2021-06-14 17:39:12,2021-06-14 17:40:58,2021-06-14 17:42:43,2021-06-14 17:44:29,2021-06-14 17:46:15,2021-06-14 17:48:01,2021-06-14 17:49:47,2021-06-14 17:51:32,2021-06-14 17:53:18,2021-06-14 17:55:04,2021-06-14 17:56:50,2021-06-14 17:58:36,2021-06-14 18:00:22
29050.0,0.0008881454031736283,0.0010278179917778602,-0.0011884687870976503,0.0006420196687807918,0.0004964730710853152,-0.00039121033212146793,-0.0014120253201980741,0.0004207000786898372,0.0006350798387125995,-0.0038508293181971757,0.0001082260663239208,-0.00017713881105862328,-0.0008037992791420309,0.00021868745280146322,0.0010230329999574596,-0.0004502302439557426,-0.0011072467050010847,0.0007427069038682852,0.00010666231270698042,0.0013679502612625222,0.0003132893245545871,-0.0006834696961046563,-0.00047968321498979296,0.00014967473410221015,0.0005717198378886436,5.6323729974887065e-05,-0.0012743484681096572,-0.0005266336439230487,-0.0002609444425449742,-0.0006153717135419938,-0.0002496650348458755,0.0011595608214953301,-0.0014182813885752054,-0.0010178558435620384,-0.0014936106967513517,-0.0003054991729153441,0.0008393650877206156,0.00015538568185769072,-0.0004749260909771475,-0.0009610231573623147,0.00017557427649190566,-8.480386980812228e-05,-0.0001305506354325153,0.0011909506592039678,-8.245476549836558e-05,0.0005918841466088378,0.0007348759417759804,-0.00025672740232390916,2.6864474383154536e-05,-0.0005951636654904598
29050.25,0.0009058923828638096,0.0011122361456901214,-7.234838706318171e-05,0.0017074333000772638,-0.0006061476975281143,-0.0017442724396385689,0.0011744203452414281,0.00019106837972777794,-0.0009993384422618766,-0.002888976797526123,0.00086463796003794,8.910564953485352e-05,-0.001189519998836657,-0.0006642883868811639,0.0001531418488726464,2.9048980054300678e-05,-0.0016224280394254874,-0.001092372333000175,0.0003349372148632853,0.000221416757066947,-6.89833729607865e-05,-0.0006827911922506058,0.0003798364481450168,0.0001851804612392148,0.0006268635701422799,-0.0004343787368770589,-0.001803858644951578,-0.000393203094024118,0.0007199285237012884,-0.001037566777944923,2.58618844263244e-05,0.0008886198811675735,-0.0005990075963001879,0.00023495258680534712,-0.0012406049936352567,-0.0007386049713605335,-7.24462145474758e-05,0.0009590977589007193,0.0008398294428967413,-0.0013549472273306964,-0.0006645434491209768,-0.0004890649130816203,-0.0007289036363748073,0.00021354872571830428,-0.00021650235322886937,0.001048969996622468,0.00019980528656211405,0.0004397262464938135,-0.00019224959747465452,-0.0009562862175409283
29050.5,-0.00041908668656439143,0.0004895374808799818,0.00024640032919712537,0.0001966534183890684,0.000636509437996747,-0.0020265985960877305,0.00042199043519002867,-2.7132032585019424e-05,-0.0015825003696664282,0.0006129711022430226,0.0010431566925665195,0.00019786040126043922,-0.0014008968443530545,-0.002136337478925724,-0.0016179742784912625,0.0002290002159571355,-0.0014148486184689154,-0.0013418655517551926,0.00021356426950820332,0.0008848512558429438,-0.0008180723862116424,-1.992942687798491e-05,-0.0007238329904289291,-0.00036965073824744545,0.0006330958934220881,-0.000505674332036939,-0.0010190588896063424,-0.00012212268210822272,0.00014144752446016763,-0.0008203537533990104,-0.0009268058364185345,0.00027676845795460495,-0.001217085533137837,0.0005094063921972167,-0.0005034812849202147,-0.0010282111625756637,0.0005118072088893473,0.00046645450227996614,0.0014438632910427,-0.0010726784398772014,-1.8870932295208306e-05,-0.00040204190590973043,-0.0011417209366977655,-0.0005220474484509299,-0.0009276950823553991,0.0005784767179455306,-1.584871629517579e-05,0.00022126059169968548,-0.0008791544064665818,-0.0007179590730539314
29050.75,0.00033299651672656346,-0.00026505540488761675,0.0007784806846419425,-3.8135462372587117e-06,-0.0004025371868050054,-0.0014849454929441782,0.0011653546421338276,-7.2948361645449136e-06,-0.0016602836933427133,0.0005638656603219202,0.0006453408622987915,-0.0001771753068650464,0.0005282258701098325,-0.002509642048459411,-0.0009872447898678265,5.599592504396843e-05,0.000280972901221655,-0.0007405158930757123,0.00032418163330782653,0.001918011904479216,-0.001231358905825409,0.0004286730083400427,-0.0013587502809367144,-0.0011094163804220938,0.00048067250133920026,0.0004758006694682823,-0.00035316536948257985,0.0006656841183507521,9.750512339277424e-05,0.00014855733032872738,-0.001502519070829233,-0.00026518040565371185,-0.001851768340735062,-0.000987977072489205,0.0006740609346921036,-0.0008169334576625967,0.0012045059372317265,-0.0005259962474758175,0.0011173562305076138,-0.00043982578205357394,0.0005007780742269857,0.00010493026103142948,-6.821617912681219e-05,-0.0007372180863805359,-0.0014387039792525288,-0.0004955015944851844,-0.0001652539579661698,-0.0013544200584252922,-0.00038539555543607487,-3.198270185066055e-05
29051.0,0.00011557367425920489,-0.001698306779341966,0.0007067666405116214,0.0006401869997024747,-0.0012212583039761197,-0.0008038241619039261,0.0011633287294565502,0.0004514864881949066,-0.0015497223493867866,-0.0005360294327498038,0.0004688281455295296,-0.0011011573040583943,-0.0010782519777569458,-0.0008982638907705111,0.0007338736256901292,0.00010786999164133936,-0.0006189149899765339,-5.056242390623483e-05,0.00026578058984031783,0.0008252965248105876,-0.00202061326636071,0.000219239690897419,-0.0008946060273335276,-0.0003864388217003599,7.892295537960652e-05,-0.0007412239298532994,-0.0005069807286948867,0.0015699626330645128,0.0006058327283640989,7.771265598631674e-05,-0.0009345394652840931,-0.0012551968908417809,-0.0018394862361382966,0.0002833743216457559,0.0015497408799542557,-0.0019264313771315278,0.0014526375341606694,-0.0005732811548958253,0.0007294177154048148,-0.0012959732228487637,5.872028025467798e-05,0.0003144289997659591,0.0009184867856408969,-0.0015404494494264292,-0.00048626533937079426,-1.3642520826982673e-05,-0.0010578949426661005,-0.0005533798070948285,-0.0005588648160636744,-0.00017225098810527424
29051.25,-0.00033748182745210037,0.0010404124281333227,0.000500766846195159,0.0014467385778054237,-0.0008007529087019925,-0.00020332783686777102,-0.00026834681356178476,-0.0007596141746615297,-0.0012382226779804788,-0.00046622716064548123,-0.0007296417812045884,-0.00220826070861812,-0.001026843760132816,0.0003198845952838757,0.0005079578108900052,0.0007203159323334612,-0.0012875003479722773,0.0004732005730407821,-0.000624234731876777,0.0008390699779058565,0.0003735317395192602,-0.00020908224559537588,-0.0002958954551461353,0.0006299815782846864,0.0010823945215269074,-0.001090612493112201,-0.0002732320538101818,0.00033599694672689065,0.00027789455588269447,0.0006535258926884422,-0.0001120996464286883,-0.0013071747038913644,-0.0010256958889154537,-0.0006323612719636302,0.0006905974151472058,-0.001965927014184134,0.0010193330371442394,-0.0008302746141954436,0.0008772853582392861,-0.00016143850078158316,-0.0010532320424876658,0.0009429000190555216,0.0005923974607095885,-0.001982830348835036,0.00013730412151841142,0.0007663416009365939,-0.0007659146793445112,0.0009728101211529531,0.0003180528254662509,0.00018593202802872963
29051.5,-4.739979026987726e-05,0.0011370193722468717,0.0007496989992260546,0.0008895250069094072,-0.0002967674010668942,0.0006723616703902022,-0.0016997403104437427,-2.34833652966519e-05,-0.0008901085243051347,0.000530370358047703,-0.00016999366063529127,-0.0009415464714302491,-0.0010849351006336203,0.0006358935470574831,0.00011295242521141055,0.0013520435922979557,-0.00033685305461990416,-0.0001385989831085622,-0.0006226354510564949,0.0002867484583360723,0.002225733885972274,-0.0004082154987545632,0.00034340005176465284,0.0006007942049100017,0.00022543365129336975,-0.0015838497915266797,-0.0021563316641917685,-0.001089096593474817,-0.00033332126216940086,0.0008299560551257253,-0.0002801272787278517,-0.0009225896885406917,0.0005670694392312381,-0.001244160807551362,-7.439643105223504e-05,-0.00040695966170963016,0.0003619759571203609,-0.0011717413634270593,0.0007149922044664416,-0.00043515761445685045,-0.0007687048510104811,0.0008385886790529225,0.0005712735803434535,-0.0002326378493750852,0.0012506736415988334,0.0003651076870552374,-0.0006730932769343237,-0.0001751269271549616,0.0007319695540508955,-0.0002630540577113518
29051.75,0.0005123871041089784,0.0006990766290458048,-0.00014702997701359602,-0.0010912667747535517,-0.0005407400504205463,0.000705295634358979,-0.0005449874583304901,0.0012010680425240216,-0.0013176344666963888,0.0010612512465155203,0.0005327563214879774,-0.00040687887706813074,-0.0006839317731211372,0.0005559817182829681,0.0008000032710797203,0.00027173722418187573,-4.114921435264781e-06,-0.0005060994389767177,-0.0005256500190501699,0.0010094032064907055,0.001511889548973225,-0.0003879005735234469,-0.0005292176940512821,0.0005943165888230157,0.0007893461456956979,-0.0018785726082841067,-0.0020248089572757607,0.0002650093458295747,0.00014664089209599695,0.0006375434091389672,-0.0006148104654141908,0.00018889024163660747,6.329319461768782e-05,-0.0002858935907702172,-4.399673896852177e-05,-9.664882891515468e-05,0.00026325267682919247,-0.0005636887935335946,0.0006651459394794824,-0.001096900979438862,-0.00025149722727418623,0.0016573176080177813,-0.0009814783139209114,-0.0007326638590796181,-0.0005276722709783479,-0.0005576585019535743,-0.0011517030533105014,-0.00020541353267062678,0.0004477927042279457,-0.00045855815247800236
29052.0,-0.0005979934881239875,8.213791649594042e-05,-0.00038795590547957494,-3.23744919023569e-06,-0.0011738163886684475,0.0010439798789743833,-0.00012815332551627956,0.0006871184684342721,-0.000662831518176761,-0.0010740649258017796,0.0007861623627638735,-0.0004329744534030342,0.0008873947536035716,0.000678620407475133,0.0002928171674692799,-0.0010945388716275069,-0.001776804029452432,-8.663918171128481e-05,-0.0013932510287526334,0.0009661699924492756,0.00019639997627499326,-0.0014378138022886533,-0.0008485877489351602,-0.0004438184275510392,-0.0002443215335179033,-0.0015514407384092728,-0.000752327599615781,0.00014152488660185646,0.0005926388586285229,-9.470119958060442e-05,-0.0024119875457159347,0.00032911087753632244,-0.0013385876364297585,0.0009306229162631487,-0.00011947159634417446,-0.0007359913622574,0.0003330277201452869,-0.00036064737726223476,-0.00023833111799000345,-0.0004915154562094631,0.0007041786488495022,0.0012975872564879606,-0.0007378776611593259,-0.0002816073268675078,-0.0011328621775004198,-0.0006394214760385736,-0.0005737325743825315,0.00023451477022917985,-0.0007620718338624223,-5.3819678435516676e-05
29052.25,-0.000891754328897783,-0.0002761230960854873,0.00042348256183116913,0.0015654779203543429,-0.0008936762993480818,0.0006302989155603588,-0.0011552044999307942,-0.00035528550131411977,-0.00025327992069093904,-0.0005083797213407833,0.0009456908052851139,-4.813959421375296e-05,0.0017904163775129605,0.00046674623489968323,-0.0004594508144984874,-0.0011798494410443254,-0.0015967407987349763,6.616226283131019e-05,-0.0010359758355984376,-0.00010158067322540824,-0.00032578733788534933,-0.0015225557361159888,-0.0006575291908571121,-0.0017242631271445477,-0.0015222600433340016,-0.0015458976767669975,-0.0005237079653188601,-0.0006066827991140528,0.00093373390713027,-0.001054763921773795,-0.0008858315823560233,-0.0001853070479316111,-0.0012456135623578007,-0.0009873693152630228,-4.419910065376701e-05,-0.0010725387111770177,0.0005749478467260309,6.7761590950674196e-06,-0.0002275756298742254,0.0001852243807506204,0.0003556182237067202,0.0004738738484582867,-0.00034355048509127854,0.00060128797252205,-0.0005137704846655655,5.663533425363698e-06,-0.00031954714329854935,0.00037198956107797903,-0.0016913692248346104,0.00043148547839073827
