29050.0,3.584071981562224e-08,-0.0,7.921211574394483e-08
29050.25,-0.0,-0.0,-0.0
29050.5,-0.0,-0.0,-0.0
29050.75,2.769541233977315e-08,-0.0,-0.0
29051.0,-0.0,-0.0,-0.0
29051.25,1.804916730478372e-07,-0.0,1.26770633539913e-07
29051.5,2.91806807189993e-07,-0.0,-0.0
29051.75,-0.0,2.717533366451208e-08,-0.0
29052.0,-0.0,-0.0,-0.0
29052.25,-0.0,-0.0,1.4195984990673796e-07
29052.5,-0.0,-0.0,3.327545411974019e-08
29052.75,-0.0,-0.0,-0.0
29053.0,-0.0,-0.0,-0.0
29053.25,-0.0,6.037089235282656e-09,-0.0
29053.5,-0.0,5.724847795255621e-09,-0.0
29053.75,-0.0,-0.0,-0.0
29054.0,-0.0,2.1801809568444358e-08,-0.0
29054.25,-0.0,1.256730714682976e-07,-0.0
29054.5,3.6250211360791614e-08,-0.0,-0.0
29054.75,2.0688618168720983e-07,-0.0,-0.0
29055.0,6.894623443580876e-08,-0.0,-0.0
29055.25,4.923311613106146e-10,-0.0,-0.0
29055.5,-0.0,5.873461533449639e-07,-0.0
29055.75,-0.0,7.976029253228918e-07,-0.0
29056.0,-0.0,8.424905189519675e-07,-0.0
29056.25,-0.0,4.757155035157485e-07,-0.0
29056.5,-0.0,-0.0,1.4634595141923836e-07
29056.75,9.034011716020287e-09,-0.0,-0.0
29057.0,3.6531414702398685e-07,-0.0,-0.0
29057.25,2.5716466358918535e-07,-0.0,-0.0
29057.5,-0.0,-0.0,-0.0
29057.75,-0.0,-0.0,-0.0
29058.0,-0.0,-0.0,3.2247865941772966e-08
29058.25,-0.0,-0.0,-0.0
29058.5,-0.0,-0.0,-0.0
29058.75,-0.0,2.3481211509850746e-07,-0.0
29059.0,5.3237274828370194e-08,-0.0,-0.0
29059.25,2.2707492717727067e-07,-0.0,-0.0
29059.5,-0.0,-0.0,-0.0
29059.75,5.002511599142824e-08,-0.0,-0.0
29060.0,-0.0,-0.0,-0.0
29060.25,-0.0,-0.0,-0.0
29060.5,-0.0,2.739340724947834e-07,-0.0
29060.75,-0.0,4.32315745940042e-08,-0.0
29061.0,-0.0,-0.0,-0.0
29061.25,-0.0,-0.0,-0.0
29061.5,-0.0,-0.0,-0.0
29061.75,-0.0,-0.0,-0.0
29062.0,-0.0,-0.0,-0.0
29062.25,-0.0,1.6929198492818344e-07,-0.0
29062.5,-0.0,2.665760118344591e-07,-0.0
29062.75,-0.0,2.7311464593932926e-07,-0.0
29063.0,-0.0,1.1119056194103721e-07,-0.0
29063.25,-0.0,-0.0,-0.0
29063.5,-0.0,-0.0,-0.0
29063.75,-0.0,-0.0,-0.0
29064.0,-0.0,-0.0,-0.0
29064.25,-0.0,-0.0,8.634726467169144e-08
29064.5,-0.0,-0.0,1.1489018843973288e-07
29064.75,-0.0,-0.0,2.1887550250353165e-07
29065.0,-0.0,-0.0,-0.0
29065.25,-0.0,-0.0,-0.0
29065.5,-0.0,-0.0,-0.0
29065.75,-0.0,-0.0,6.407608779655207e-08
29066.0,-0.0,8.418266826649583e-08,-0.0
29066.25,-0.0,-0.0,-0.0
29066.5,-0.0,-0.0,3.222823158581907e-10
29066.75,-0.0,-0.0,2.1549685011032112e-07
29067.0,-0.0,-0.0,1.2428654557433619e-08
29067.25,-0.0,-0.0,-0.0
29067.5,-0.0,-0.0,-0.0
29067.75,-0.0,7.473424317792552e-08,-0.0
29068.0,-0.0,1.3936662179856856e-07,-0.0
29068.25,-0.0,1.5225324291833844e-07,-0.0
29068.5,-0.0,-0.0,-0.0
29068.75,-0.0,6.273577443792835e-07,-0.0
29069.0,-0.0,1.91341933955139e-07,-0.0
29069.25,-0.0,1.0807303630640793e-08,-0.0
29069.5,-0.0,-0.0,-0.0
29069.75,-0.0,-0.0,-0.0
29070.0,7.333619260091703e-08,-0.0,-0.0
29070.25,1.3070588452981231e-07,-0.0,-0.0
29070.5,-0.0,-0.0,-0.0
29070.75,-0.0,-0.0,-0.0
29071.0,-0.0,-0.0,-0.0
29071.25,-0.0,1.6901608092699374e-07,-0.0
29071.5,-0.0,-0.0,-0.0
29071.75,-0.0,-0.0,-0.0
29072.0,6.872492087632927e-08,-0.0,-0.0
29072.25,-0.0,-0.0,-0.0
29072.5,7.504824019648136e-08,-0.0,-0.0
29072.75,-0.0,1.0490435418639906e-08,-0.0
29073.0,-0.0,3.4850743883987754e-07,-0.0
29073.25,-0.0,-0.0,-0.0
29073.5,-0.0,-0.0,-0.0
29073.75,-0.0,-0.0,4.478806034783189e-08
29074.0,-0.0,-0.0,3.7345720110057587e-07
29074.25,-0.0,2.2868952779998217e-07,-0.0
29074.5,-0.0,-0.0,3.976089354248087e-08
29074.75,-0.0,-0.0,6.17558018144982e-08
29075.0,-0.0,-0.0,6.956628834437219e-08
29075.25,-0.0,-0.0,1.8141885358440316e-08
29075.5,-0.0,-0.0,-0.0
29075.75,-0.0,-0.0,-0.0
29076.0,-0.0,5.824312484027283e-07,-0.0
29076.25,-0.0,6.450956367336642e-07,-0.0
29076.5,-0.0,6.880518322756624e-08,-0.0
29076.75,1.6078145811354422e-07,-0.0,-0.0
29077.0,-0.0,-0.0,-0.0
29077.25,-0.0,-0.0,-0.0
29077.5,-0.0,-0.0,2.144377907338125e-07
29077.75,-0.0,-0.0,4.396442580247659e-07
29078.0,-0.0,-0.0,3.5846411242825624e-07
29078.25,1.5347843947782828e-07,-0.0,-0.0
29078.5,1.7923020979293387e-07,-0.0,-0.0
29078.75,-0.0,-0.0,1.3700241961164427e-07
29079.0,-0.0,-0.0,2.793217077194202e-07
29079.25,-0.0,-0.0,9.396666825803191e-08
29079.5,-0.0,-0.0,-0.0
29079.75,-0.0,-0.0,-0.0
29080.0,-0.0,-0.0,-0.0
29080.25,-0.0,1.204325630911218e-07,-0.0
29080.5,-0.0,9.447310856821167e-08,-0.0
29080.75,-0.0,4.945002160774776e-07,-0.0
29081.0,-0.0,6.202267194859963e-07,-0.0
29081.25,-0.0,3.599158787697983e-08,-0.0
29081.5,-0.0,-0.0,-0.0
29081.75,-0.0,-0.0,-0.0
29082.0,6.754614325141601e-09,-0.0,-0.0
29082.25,1.4113086400239944e-07,-0.0,-0.0
29082.5,3.910850304311679e-07,-0.0,-0.0
29082.75,1.2889968638705382e-07,-0.0,4.548092984751298e-08
29083.0,-0.0,6.350897279717761e-09,-0.0
29083.25,-0.0,1.2619159204446767e-07,-0.0
