,Name,Chi2,RedChi2,Variables,Amp1,Amp1-stdev,Amp2,Amp2-stdev,Sum Amp
0,20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0001,4.3993126092805395e-30,1.133843456000139e-32,2,1.0,2.543738739910227e-28,1.1102230246251565e-16,8.773826537597989e-20,1.0
1,20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0002,0.00369070508452305,9.536705644762403e-06,2,1.0,7.379684970392525e-15,0.0,7.423111186202117e-15,0.9999999850988388
2,20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0003,0.002475323551573431,6.396184887786643e-06,2,0.9980017870631579,0.0007750391063909984,0.0019648955387284173,0.0007790778929923544,0.9999666825726071
3,20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0004,0.0030691223825538433,7.910109233386193e-06,2,0.9999514162098649,0.0008612789272203088,5.436462754676574e-05,0.0008646098688416334,1.0000057808366016
4,20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0005,0.003973823362676575,1.0241812790403543e-05,2,0.9965375241198995,0.0009820706197096118,0.004585796789867758,0.0009864479226709185,1.0011233208414336
5,20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0006,0.003642065653017668,9.386767146952753e-06,2,0.9953200168830879,0.0009406591434740718,0.0053250505305590945,0.0009451431465108234,1.0006450673342975
6,20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0007,0.0034216528328605486,8.84148018827015e-06,2,0.9952802363595553,0.0009135072010686715,0.00591644056993984,0.0009183122166999607,1.0011966768413334
7,20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0008,0.002599130945980978,6.716100635609762e-06,2,0.9972372555384513,0.0007955125132160265,0.0032024172022139807,0.0007995379350690304,1.0004396726929456
8,20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0009,0.003818437475750455,9.86676350323115e-06,2,0.9922047861556028,0.0009627219942719374,0.007914075879120852,0.0009680225594537908,1.0001188619167947
9,20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0010,0.004077818487058852,1.0536998674570677e-05,2,0.9953373023449343,0.0009955150074116678,0.0041407937836761,0.0010013884348981103,0.9994780960669079
10,20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0011,0.0033409375854288616,8.632913657438919e-06,2,0.9934194056483725,0.0009011882939532713,0.007612940916486677,0.0009057550061206174,1.0010323464514175
11,20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0012,0.00411497125633129,1.0633000662354753e-05,2,0.9961293401274968,0.0009989119098142174,0.0033532198747247,0.0010048142926709475,0.9994825599522545
