,Enregy,Sample,Fit,component: 20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0001,component: 20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0050
0,29149.8573346925,0.012346609883916365,0.012818989420885663,0.0007741540832314087,0.012044835337654254
1,29150.1705144671,0.013496369054967872,0.012963574939492324,0.0007254622149149129,0.01223811272457741
2,29150.4315027851,0.012095007571404411,0.013215582840069545,0.0006247264235727423,0.012590856416496803
3,29150.744694974,0.011612022149478773,0.015216832140078657,0.0007975474262906359,0.014419284713788021
4,29151.0056936376,0.012231357475954108,0.015814719676677625,0.0007386459870823247,0.015076073689595302
5,29151.3188982414,0.01559188354739869,0.013656721944999244,0.0005898068799249807,0.013066915065074264
6,29151.5799072512,0.012759479698727432,0.014262110214631543,0.0006673072342723496,0.013594802980359193
7,29151.8409209639,0.014543366300158225,0.013570587081091113,0.0006625700518753478,0.012908017029215766
8,29152.1541436273,0.015451315448212403,0.013151359563626484,0.0006608115780052553,0.012490547985621228
9,29152.415167687,0.01633501618124886,0.012228035009232334,0.0008067466040233135,0.01142128840520902
10,29152.6761964502,0.015977327621793484,0.013518087647403063,0.0007719581385926715,0.012746129508810392
11,29152.9894371747,0.016112105536660086,0.013577775075596472,0.0007191370419117029,0.012858638033684769
12,29153.2504762858,0.013790485776250092,0.013761678629304172,0.0008619933639857456,0.012899685265318426
13,29153.5637294281,0.015443247093235166,0.014968544016344407,0.0008625807766104641,0.014105963239733944
14,29153.8247788878,0.016921791140068098,0.01543845241490899,0.0008073737142971449,0.014631078700611845
15,29154.0858330515,0.017531290371370113,0.013623137285539315,0.0008809246395725535,0.012742212645966762
16,29154.3991042575,0.015375744108766742,0.015195571868209308,0.0010198364725398225,0.014175735395669485
17,29154.6601687707,0.0169524710193451,0.01492528395868375,0.0009958652688283518,0.013929418689855397
18,29154.9734523964,0.017195562969600533,0.014817787887299677,0.0009615418769729901,0.013856246010326687
19,29155.2345272597,0.015923810268010864,0.014180247670470372,0.000835264211341341,0.013344983459129031
20,29155.4956068277,0.016493123218691206,0.01660875210121839,0.0009653478504325992,0.01564340425078579
21,29155.8089085197,0.01753987984072984,0.016000039512879753,0.0010879253778292505,0.014912114135050501
22,29156.1222169871,0.019748747922194547,0.016734044149762293,0.0009284811265775558,0.015805563023184737
23,29156.3833125523,0.01876633390543994,0.01619947978238297,0.0009915649774895456,0.015207914804893426
24,29156.6966334415,0.019794936204203282,0.017118392018843635,0.0009761604147937784,0.016142231604049855
