,Enregy,Sample,Fit,component: 20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0001,component: 20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0031,component: 20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0050
0,29149.752942939,0.011406310531538857,0.012612959020752395,0.01259813502036414,1.482279412974941e-05,1.206258504961903e-09
1,29150.0139237334,0.01374131850323312,0.013519593737659381,0.013505324968081447,1.4267537556400476e-05,1.2320215334980019e-09
2,29150.27490923,0.014826016243967696,0.011073948272992906,0.011058755818385897,1.519120881198935e-05,1.2457950192877809e-09
3,29150.5880980331,0.011218596409974,0.01218560743480637,0.012169518673164613,1.6087405405191514e-05,1.3562365662492358e-09
4,29150.8490938751,0.010574958709721282,0.013653279016804876,0.01363963841102614,1.3639092180192152e-05,1.5135985442975876e-09
5,29151.162295093,0.010819447790866459,0.010610578934288635,0.01059454883810563,1.602866617129403e-05,1.4300117096800328e-09
6,29151.423301281,0.010998480389757027,0.010440284778539756,0.010423539491309197,1.6743961212432327e-05,1.326018126487789e-09
7,29151.7365149144,0.01422948049689191,0.011601225573119309,0.011585150436554927,1.6073780381983904e-05,1.3561823990216996e-09
8,29151.997531449,0.014584685285053437,0.010509695134749255,0.010494622253377642,1.5071607379791693e-05,1.2739918193103734e-09
9,29152.2585526868,0.013062009245310782,0.0123552326236107,0.012339645509303367,1.5585886205724605e-05,1.2281016079945083e-09
10,29152.5717843805,0.012074097045352337,0.013686531691144997,0.013670459657064869,1.6070823676707335e-05,1.2104034215294425e-09
11,29152.8328159658,0.014543417992448026,0.012049352087494122,0.01203253375068562,1.681699884968114e-05,1.337958822439824e-09
12,29153.1460600769,0.014784326781511661,0.013743321788433986,0.013726097200034626,1.7223300133440732e-05,1.2882659192975017e-09
13,29153.4071020102,0.013413669252070961,0.015036087611739237,0.015020402021895982,1.568422808709192e-05,1.3617561641600817e-09
14,29153.6681486475,0.014576148266980888,0.014138360010056555,0.01412189451026137,1.646403009813727e-05,1.4696970472878728e-09
15,29153.9814108215,0.013279975601954529,0.014107185866645493,0.014089811967623423,1.7372524281254104e-05,1.3747408153530485e-09
16,29154.2424678077,0.013919201400562175,0.016540335122727696,0.016522815777160475,1.7518033660722332e-05,1.3119064991853239e-09
17,29154.5035294983,0.013413573592668218,0.017096334539323167,0.017080591153485952,1.574192061203113e-05,1.4652251853038256e-09
18,29154.8168097368,0.01385917451433383,0.01708937129569124,0.01707312967880147,1.6240227974983747e-05,1.3889147889739285e-09
19,29155.0778817772,0.013903247098650076,0.015118936427498791,0.015101915584779836,1.7019457204538715e-05,1.3855144173172504e-09
20,29155.3911744359,0.014312433328304194,0.015158352530465392,0.015140161854381523,1.818921110466703e-05,1.464979201999955e-09
21,29155.6522568268,0.014191796799466467,0.01806377934208487,0.01804521148264171,1.8566226321936227e-05,1.6331212251149171e-09
22,29155.9655619065,0.014925362691903072,0.016936003942810567,0.01691875589488639,1.7246543137488896e-05,1.504786687709942e-09
23,29156.2266546485,0.014148021347351249,0.015923016622972196,0.015905331122175657,1.7683887584750923e-05,1.6132117897455923e-09
24,29156.5399721499,0.015754333134633737,0.01736027206339807,0.017341060125310954,1.921040753297743e-05,1.5305541367831708e-09
25,29156.8010752437,0.013632592753336819,0.015469013378958146,0.015449149905934316,1.986178562957491e-05,1.6873942552773503e-09
26,29157.1144051675,0.012879833134838045,0.017527893937388704,0.0175088810741252,1.9011235794283734e-05,1.6274692218619428e-09
27,29157.3755186136,0.01452362197925963,0.018124647032777757,0.018102550033565708,2.2095403032487142e-05,1.5961795642710791e-09
28,29157.6366367656,0.016558220378636305,0.01620062786441908,0.016178317386503396,2.2308721169509978e-05,1.756746171708428e-09
29,29157.9499847597,0.016392910890727416,0.014827598970962799,0.014807854488726872,1.9742629128322973e-05,1.853107603477432e-09
30,29158.2111132649,0.017828814002849833,0.01692901702002763,0.016906558005358466,2.245721860264722e-05,1.7960665183577832e-09
31,29158.4722464763,0.01796802014340634,0.017776254418244444,0.017753542039050555,2.271058882531514e-05,1.7903685750956004e-09
32,29158.7856125423,0.01905204719076328,0.01788007318843838,0.01785960924952324,2.0462188625880637e-05,1.7502892574032362e-09
33,29159.0467561078,0.018667832261988704,0.016574263531747076,0.016553512619451725,2.074908648373323e-05,1.8258116159501565e-09
34,29159.30790438,0.020640769147850038,0.017210342245914365,0.017187992921155783,2.2347473203858335e-05,1.8515547263808694e-09
35,29159.6212885195,0.02034668699198606,0.018162490891722886,0.018139983255584996,2.250557547633804e-05,2.0606615515677135e-09
36,29159.8824471466,0.021260457885431332,0.01828273682663351,0.01826014959161238,2.258509105133261e-05,2.1439697984475825e-09
37,29160.1436104808,0.020400097024659072,0.018560648732009084,0.018535661405751223,2.498524533249363e-05,2.080925368693419e-09
38,29160.4570126953,0.020359451011202814,0.018374611857103606,0.018351367196411086,2.3242594266164617e-05,2.0664263558858917e-09
39,29160.7181863854,0.018917321549037084,0.01873534574473399,0.018713228217647298,2.2115519452909425e-05,2.0076337828535666e-09
40,29160.979364783,0.02071248199231247,0.019610287618523837,0.019585284359525855,2.5001088719007127e-05,2.1702789728806894e-09
