,Enregy,Sample,Fit,component: 20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0001,component: 20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0031,component: 20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0050
0,29149.8573346925,0.010874455426083729,0.013702930615921986,0.003970634019205761,0.009732296596716225,0.0
1,29150.1183173677,0.013225938118997636,0.013590728405463583,0.003898640368832942,0.009692088036630641,0.0
2,29150.4315027851,0.01296285903953402,0.013930215687312928,0.0032042199916850326,0.010725995695627896,0.0
3,29150.6924958056,0.012764749662051444,0.014369032073709091,0.00399806187565582,0.010370970198053272,0.0
4,29150.9534935286,0.013015951255861566,0.01282649754516429,0.003956318273046759,0.00887017927211753,0.0
5,29151.2666970039,0.013226842169352047,0.014601610415621254,0.0030210521790298476,0.011580558236591406,0.0
6,29151.527705073,0.014389058228647049,0.01408233806416654,0.0033444361505551847,0.010737901913611354,0.0
7,29151.7887178451,0.013598068643942958,0.014294053847738608,0.003470710784565891,0.010823343063172716,0.0
8,29152.1019393797,0.015821651291362912,0.013118748037293262,0.0032571802365341717,0.009861567800759091,0.0
9,29152.3629624988,0.012592160397647793,0.015036948120364818,0.00404652641016285,0.010990421710201969,0.0
10,29152.6761964502,0.013183968892350332,0.014591749918297182,0.00395937102560316,0.010632378892694022,0.0
11,29152.9372299169,0.013723960736270574,0.015384888997757319,0.0036071625839090723,0.011777726413848246,0.0
12,29153.2504762858,0.01390668359279232,0.015533857731032545,0.004421161432211061,0.011112696298821483,0.0
13,29153.5115201007,0.012352136044377958,0.014954334390161726,0.004486747053102632,0.010467587337059093,0.0
14,29153.7725686195,0.013592886467453984,0.01569177902756367,0.004161678720976794,0.011530100306586875,0.0
15,29154.0858330515,0.01329410315178666,0.016111150000218906,0.004518259889094701,0.011592890111124205,0.0
16,29154.3468919194,0.012522420122827933,0.016816197082990786,0.005207147804073953,0.011609049278916832,0.0
17,29154.6079554917,0.01326752327824802,0.015093345123066579,0.0051024747924192345,0.009990870330647345,0.0
18,29154.9212379884,0.016143608425846435,0.016628975301540266,0.005069289034537826,0.011559686267002439,0.0
19,29155.1823119106,0.013603972498457583,0.015498259676472986,0.004309057165475353,0.011189202510997634,0.0
20,29155.4433905377,0.013002021630653806,0.01731828148929271,0.004760499777722385,0.012557781711570322,0.0
21,29155.7566911006,0.013323031715647462,0.017524728217547626,0.005609344922363161,0.011915383295184464,0.0
22,29156.0699984387,0.0150111171969077,0.016545735260726384,0.004820777884980915,0.011724957375745469,0.0
23,29156.3310930628,0.01547909600134681,0.016990416284880946,0.004991021539403923,0.011999394745477022,0.0
