,Enregy,Sample,Fit,component: 20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0001,component: 20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0031,component: 20210614_SnO2_H2_TPR_Sn_EXAFS_92.tra_0050
0,29149.9095308513,0.012253751700942481,0.013335347674226087,0.013292404598067829,7.761749466908017e-12,4.2943068396508826e-05
1,29150.1705144671,0.012718978430281006,0.01227869081724168,0.012235220284574895,7.908842130324356e-12,4.34705247579437e-05
2,29150.4315027851,0.013672876249732112,0.010580993002754512,0.010536269502201025,8.631577957596536e-12,4.472349192190862e-05
3,29150.744694974,0.012428402614357362,0.013502185375843913,0.013450967186769741,8.031946663657142e-12,5.121818104222567e-05
4,29151.0056936376,0.014657609595892471,0.012511121197590359,0.01245757005460237,7.341068387382704e-12,5.355113564691976e-05
5,29151.3188982414,0.012822123631348265,0.009993751447594852,0.00994733695687583,9.366393704276052e-12,4.641448135262874e-05
6,29151.5799072512,0.014408326434651331,0.011302702064906701,0.011254412484832497,8.566151697540712e-12,4.828957150805189e-05
7,29151.8931242708,0.013670612788497192,0.010927473347401852,0.010882299352139331,8.531309076322767e-12,4.517398673121193e-05
8,29152.1541436273,0.014804656321245434,0.011189227753728354,0.01114486055547379,8.012983022546066e-12,4.4367190241581003e-05
9,29152.415167687,0.014892485633530307,0.013646684247513498,0.013606115123743087,8.943647203600259e-12,4.056911482676383e-05
10,29152.7284027673,0.013772410790428817,0.012682277778241827,0.01263593879274176,8.658275937952624e-12,4.6338976841790856e-05
11,29152.9894371747,0.014475852280756249,0.012174218304118963,0.01212854362596851,9.549454807161858e-12,4.567466860099868e-05
12,29153.3026846724,0.01449400508321689,0.01483355477207903,0.014787190166617389,8.7579986964118e-12,4.6364596703642225e-05
13,29153.5637294281,0.014076439137215548,0.01459788678834457,0.014547781535812349,8.525434844275645e-12,5.010524400678574e-05
14,29153.8247788878,0.016392929938673383,0.013668662093500619,0.013616691597865821,9.400177328939452e-12,5.1970486234620044e-05
15,29154.1380444487,0.015382954707448191,0.015438312017641733,0.015393656129322947,9.365110271267625e-12,4.4655878953675324e-05
16,29154.3991042575,0.015757989388800568,0.017250316972125472,0.017199963884035104,9.119134053144116e-12,5.035307897123419e-05
17,29154.6601687707,0.016845179995773122,0.016845157774625148,0.016795679619649558,8.005665227388025e-12,4.9478146969922895e-05
18,29154.9734523964,0.015977304269086813,0.016266019663357303,0.016216801420854098,9.365478050355248e-12,4.921823313772959e-05
19,29155.2345272597,0.015562912662640819,0.014134478571549342,0.0140870763652131,9.04405489885849e-12,4.7402197292185625e-05
20,29155.4956068277,0.016633524764884073,0.01633655707606592,0.01628099073729013,1.0283270282308148e-11,5.5566328492516354e-05
21,29155.8089085197,0.01589077355399804,0.01840128018202674,0.018348311431328517,9.415169874014363e-12,5.2968741283054435e-05
